sepal_length,sepal_width,petal_length,petal_width,target,cat_cat1,cat_cat2,cat_cat3,cat_cat4,cat_cat5,sepal_area
5.1,3.5,1.4,0.2,0,False,True,False,False,False,17.849999999999998
4.9,3.0,1.4,0.2,0,False,True,False,False,False,14.700000000000001
4.7,3.2,1.3,0.2,0,False,True,False,False,False,15.040000000000001
4.6,3.1,1.5,0.2,0,False,True,False,False,False,14.26
5.0,3.6,1.4,0.2,0,True,False,False,False,False,18.0
5.4,3.9,1.7,0.4,0,True,False,False,False,False,21.060000000000002
4.6,3.4,1.4,0.3,0,True,False,False,False,False,15.639999999999999
5.0,3.4,1.5,0.2,0,True,False,False,False,False,17.0
4.4,2.9,1.4,0.2,0,True,False,False,False,False,12.76
4.9,3.1,1.5,0.1,0,True,False,False,False,False,15.190000000000001
5.4,3.7,1.5,0.2,0,True,False,False,False,False,19.980000000000004
4.8,3.4,1.6,0.2,0,True,False,False,False,False,16.32
4.8,3.0,1.4,0.1,0,False,True,False,False,False,14.399999999999999
4.3,3.0,1.1,0.1,0,False,False,False,False,True,12.899999999999999
5.8,4.0,1.2,0.2,0,False,True,False,False,False,23.2
5.7,4.4,1.5,0.4,0,True,False,False,False,False,25.080000000000002
5.4,3.9,1.3,0.4,0,True,False,False,False,False,21.060000000000002
5.1,3.5,1.4,0.3,0,True,False,False,False,False,17.849999999999998
5.7,3.8,1.7,0.3,0,True,False,False,False,False,21.66
5.1,3.8,1.5,0.3,0,False,True,False,False,False,19.38
5.4,3.4,1.7,0.2,0,True,False,False,False,False,18.36
5.1,3.7,1.5,0.4,0,False,True,False,False,False,18.87
4.6,3.6,1.0,0.2,0,True,False,False,False,False,16.56
5.1,3.3,1.7,0.5,0,True,False,False,False,False,16.83
4.8,3.4,1.9,0.2,0,True,False,False,False,False,16.32
5.0,3.0,1.6,0.2,0,False,False,False,True,False,15.0
5.0,3.4,1.6,0.4,0,True,False,False,False,False,17.0
5.2,3.5,1.5,0.2,0,False,False,False,False,True,18.2
5.2,3.4,1.4,0.2,0,True,False,False,False,False,17.68
4.7,3.2,1.6,0.2,0,True,False,False,False,False,15.040000000000001
4.8,3.1,1.6,0.2,0,True,False,False,False,False,14.879999999999999
5.4,3.4,1.5,0.4,0,False,True,False,False,False,18.36
5.2,4.1,1.5,0.1,0,False,True,False,False,False,21.32
5.5,4.2,1.4,0.2,0,True,False,False,False,False,23.1
4.9,3.1,1.5,0.2,0,False,False,False,False,True,15.190000000000001
5.0,3.2,1.2,0.2,0,False,True,False,False,False,16.0
5.5,3.5,1.3,0.2,0,True,False,False,False,False,19.25
4.9,3.6,1.4,0.1,0,False,True,False,False,False,17.64
4.4,3.0,1.3,0.2,0,True,False,False,False,False,13.200000000000001
5.1,3.4,1.5,0.2,0,False,True,False,False,False,17.34
5.0,3.5,1.3,0.3,0,True,False,False,False,False,17.5
4.5,2.3,1.3,0.3,0,False,True,False,False,False,10.35
4.4,3.2,1.3,0.2,0,True,False,False,False,False,14.080000000000002
5.0,3.5,1.6,0.6,0,True,False,False,False,False,17.5
5.1,3.8,1.9,0.4,0,False,False,False,True,False,19.38
4.8,3.0,1.4,0.3,0,True,False,False,False,False,14.399999999999999
5.1,3.8,1.6,0.2,0,False,True,False,False,False,19.38
4.6,3.2,1.4,0.2,0,False,False,False,False,True,14.719999999999999
5.3,3.7,1.5,0.2,0,True,False,False,False,False,19.61
5.0,3.3,1.4,0.2,0,True,False,False,False,False,16.5
7.0,3.2,4.7,1.4,1,False,True,False,False,False,22.400000000000002
6.4,3.2,4.5,1.5,1,False,True,False,False,False,20.480000000000004
6.9,3.1,4.9,1.5,1,False,True,False,False,False,21.39
5.5,2.3,4.0,1.3,1,False,False,True,False,False,12.649999999999999
6.5,2.8,4.6,1.5,1,False,True,False,False,False,18.2
5.7,2.8,4.5,1.3,1,False,False,True,False,False,15.959999999999999
6.3,3.3,4.7,1.6,1,False,False,True,False,False,20.79
4.9,2.4,3.3,1.0,1,False,True,False,False,False,11.76
6.6,2.9,4.6,1.3,1,False,False,True,False,False,19.139999999999997
5.2,2.7,3.9,1.4,1,False,True,False,False,False,14.040000000000001
5.0,2.0,3.5,1.0,1,False,True,False,False,False,10.0
5.9,3.0,4.2,1.5,1,False,False,True,False,False,17.700000000000003
6.0,2.2,4.0,1.0,1,False,False,False,True,False,13.200000000000001
6.1,2.9,4.7,1.4,1,False,True,False,False,False,17.689999999999998
5.6,2.9,3.6,1.3,1,False,False,True,False,False,16.24
6.7,3.1,4.4,1.4,1,False,False,True,False,False,20.77
5.6,3.0,4.5,1.5,1,False,True,False,False,False,16.799999999999997
5.8,2.7,4.1,1.0,1,False,True,False,False,False,15.66
6.2,2.2,4.5,1.5,1,False,True,False,False,False,13.640000000000002
5.6,2.5,3.9,1.1,1,False,False,False,False,True,14.0
5.9,3.2,4.8,1.8,1,False,False,True,False,False,18.880000000000003
6.1,2.8,4.0,1.3,1,False,True,False,False,False,17.08
6.3,2.5,4.9,1.5,1,False,True,False,False,False,15.75
6.1,2.8,4.7,1.2,1,False,False,True,False,False,17.08
6.4,2.9,4.3,1.3,1,False,False,True,False,False,18.56
6.6,3.0,4.4,1.4,1,False,False,False,True,False,19.799999999999997
6.8,2.8,4.8,1.4,1,False,False,False,False,True,19.04
6.7,3.0,5.0,1.7,1,False,True,False,False,False,20.1
6.0,2.9,4.5,1.5,1,False,False,True,False,False,17.4
5.7,2.6,3.5,1.0,1,False,True,False,False,False,14.82
5.5,2.4,3.8,1.1,1,True,False,False,False,False,13.2
5.5,2.4,3.7,1.0,1,False,False,True,False,False,13.2
5.8,2.7,3.9,1.2,1,False,False,True,False,False,15.66
6.0,2.7,5.1,1.6,1,False,True,False,False,False,16.200000000000003
5.4,3.0,4.5,1.5,1,False,True,False,False,False,16.200000000000003
6.0,3.4,4.5,1.6,1,False,True,False,False,False,20.4
6.7,3.1,4.7,1.5,1,False,True,False,False,False,20.77
6.3,2.3,4.4,1.3,1,False,True,False,False,False,14.489999999999998
5.6,3.0,4.1,1.3,1,False,True,False,False,False,16.799999999999997
5.5,2.5,4.0,1.3,1,False,False,True,False,False,13.75
5.5,2.6,4.4,1.2,1,True,False,False,False,False,14.3
6.1,3.0,4.6,1.4,1,False,True,False,False,False,18.299999999999997
5.8,2.6,4.0,1.2,1,False,True,False,False,False,15.08
5.0,2.3,3.3,1.0,1,True,False,False,False,False,11.5
5.6,2.7,4.2,1.3,1,False,True,False,False,False,15.12
5.7,3.0,4.2,1.2,1,False,False,True,False,False,17.1
5.7,2.9,4.2,1.3,1,False,True,False,False,False,16.53
6.2,2.9,4.3,1.3,1,False,False,True,False,False,17.98
5.1,2.5,3.0,1.1,1,False,True,False,False,False,12.75
5.7,2.8,4.1,1.3,1,False,False,True,False,False,15.959999999999999
6.3,3.3,6.0,2.5,2,False,False,False,True,False,20.79
5.8,2.7,5.1,1.9,2,False,False,False,False,True,15.66
7.1,3.0,5.9,2.1,2,False,False,True,False,False,21.299999999999997
6.3,2.9,5.6,1.8,2,False,False,False,True,False,18.27
6.5,3.0,5.8,2.2,2,False,False,False,False,True,19.5
7.6,3.0,6.6,2.1,2,False,False,True,False,False,22.799999999999997
4.9,2.5,4.5,1.7,2,False,False,False,False,True,12.25
7.3,2.9,6.3,1.8,2,False,False,False,False,True,21.169999999999998
6.7,2.5,5.8,1.8,2,False,False,False,False,True,16.75
7.2,3.6,6.1,2.5,2,False,False,False,True,False,25.92
6.5,3.2,5.1,2.0,2,False,False,False,False,True,20.8
6.4,2.7,5.3,1.9,2,False,False,False,True,False,17.28
6.8,3.0,5.5,2.1,2,False,False,False,False,True,20.4
5.7,2.5,5.0,2.0,2,False,False,False,True,False,14.25
5.8,2.8,5.1,2.4,2,False,False,False,True,False,16.24
6.4,3.2,5.3,2.3,2,False,False,False,True,False,20.480000000000004
6.5,3.0,5.5,1.8,2,False,False,False,False,True,19.5
7.7,3.8,6.7,2.2,2,False,False,False,True,False,29.259999999999998
7.7,2.6,6.9,2.3,2,False,False,False,True,False,20.02
6.0,2.2,5.0,1.5,2,False,False,False,True,False,13.200000000000001
6.9,3.2,5.7,2.3,2,False,False,False,True,False,22.080000000000002
5.6,2.8,4.9,2.0,2,False,True,False,False,False,15.679999999999998
7.7,2.8,6.7,2.0,2,False,False,False,True,False,21.56
6.3,2.7,4.9,1.8,2,False,False,False,True,False,17.01
6.7,3.3,5.7,2.1,2,False,False,False,False,True,22.11
7.2,3.2,6.0,1.8,2,False,False,False,True,False,23.040000000000003
6.2,2.8,4.8,1.8,2,False,False,False,False,True,17.36
6.1,3.0,4.9,1.8,2,False,False,False,True,False,18.299999999999997
6.4,2.8,5.6,2.1,2,False,True,False,False,False,17.919999999999998
7.2,3.0,5.8,1.6,2,False,False,False,True,False,21.6
7.4,2.8,6.1,1.9,2,False,True,False,False,False,20.72
7.9,3.8,6.4,2.0,2,False,False,False,True,False,30.02
6.4,2.8,5.6,2.2,2,False,False,False,True,False,17.919999999999998
6.3,2.8,5.1,1.5,2,False,False,False,True,False,17.639999999999997
6.1,2.6,5.6,1.4,2,False,False,False,True,False,15.86
7.7,3.0,6.1,2.3,2,False,False,False,False,True,23.1
6.3,3.4,5.6,2.4,2,False,False,False,True,False,21.419999999999998
6.4,3.1,5.5,1.8,2,False,False,False,False,True,19.840000000000003
6.0,3.0,4.8,1.8,2,False,False,False,True,False,18.0
6.9,3.1,5.4,2.1,2,False,False,False,True,False,21.39
6.7,3.1,5.6,2.4,2,False,False,False,False,True,20.77
6.9,3.1,5.1,2.3,2,False,False,False,True,False,21.39
5.8,2.7,5.1,1.9,2,False,False,False,False,True,15.66
6.8,3.2,5.9,2.3,2,False,False,False,False,True,21.76
6.7,3.3,5.7,2.5,2,False,False,False,False,True,22.11
6.7,3.0,5.2,2.3,2,False,False,False,True,False,20.1
6.3,2.5,5.0,1.9,2,False,False,False,True,False,15.75
6.5,3.0,5.2,2.0,2,False,False,False,False,True,19.5
6.2,3.4,5.4,2.3,2,False,False,False,True,False,21.08
5.9,3.0,5.1,1.8,2,False,False,False,True,False,17.700000000000003
